batter,hittype,speed_A,True_speed
344,popup,68.6489221810051,73.68134926979522
345,fly_ball,76.7481408364608,76.88010809858088
345,ground_ball,75.6636706681859,87.52530329736533
345,line_drive,84.7938834247112,85.53963918316444
345,popup,75.9712093275192,61.378519115289585
346,ground_ball,89.86799976053291,89.93262897247124
347,fly_ball,88.0948416293517,87.84759175770091
347,ground_ball,93.0664687545891,90.31125723073265
347,line_drive,95.7256380883454,95.30498490155117
347,popup,78.81283483696436,77.45362880562743
348,fly_ball,87.0254055223194,86.83686150898544
348,ground_ball,91.2339811529549,87.69974715110439
348,line_drive,94.7455704230544,94.16877005607594
348,popup,75.9712093275192,70.83840203547899
349,fly_ball,88.2946623131455,88.98651785948115
349,ground_ball,86.4633476195992,91.65743358993625
349,line_drive,94.39381808340788,93.05725463726324
349,popup,72.1304873367842,78.83676334031286
350,fly_ball,85.9702446139036,85.54508240422965
350,ground_ball,88.1472873406846,87.59155552292921
350,line_drive,92.77503093888396,93.42489623442795
350,popup,72.19024907166825,74.98384718535083
351,ground_ball,89.5309716932282,93.23747903694772
351,line_drive,85.9298595270733,85.97233437178835
351,popup,62.9213491843394,65.67171973525855
352,fly_ball,94.3518721941013,94.88149301156355
352,ground_ball,72.4168511540513,83.27907833299213
352,line_drive,98.046933356076,98.34582011760672
352,popup,69.96699182143286,70.63959381354665
353,fly_ball,92.0904944386504,92.47711889446047
353,ground_ball,86.8871386193949,89.00447385545806
353,line_drive,99.9957050821069,99.8797207385256
354,fly_ball,84.456723188461,86.39712156274884
354,ground_ball,86.6916867594179,89.88927094875713
354,line_drive,94.89217000964605,95.10205143959692
354,popup,75.9712093275192,75.9701008550634
355,fly_ball,94.86276501187434,95.44696264830903
355,ground_ball,89.9412790082699,88.90837467925651
355,line_drive,96.2156138268708,96.12042351797068
355,popup,70.12421834025295,71.10525046096699
356,fly_ball,94.9767446486484,96.15738232748942
356,ground_ball,84.8080090957677,89.56760702719016
356,line_drive,99.3518553552806,99.65294690951185
356,popup,75.9712093275192,78.11453804750408
357,fly_ball,99.5895453658997,99.11764216364898
357,ground_ball,97.7810876651633,96.72911890837418
357,popup,92.5656577949171,88.82018145949785
358,fly_ball,78.9746683464333,79.69213794181896
358,ground_ball,91.33900433961058,92.79199931051215
358,line_drive,93.496038381613,91.86683397374816
358,popup,59.542344120047,61.677986004228174
359,line_drive,101.428197543294,101.89534996277499
360,fly_ball,88.7325188642284,88.11302755106392
360,ground_ball,90.72628177626095,89.11031467134944
360,line_drive,93.4089831781822,92.99041328804432
360,popup,75.9712093275192,79.86047198892446
361,fly_ball,90.13812644929105,89.64440748681334
361,ground_ball,89.91660149868865,88.8717801852001
361,line_drive,90.17423335731449,90.76980170749059
361,popup,67.8785833885877,68.97998788882568
362,fly_ball,86.1850373773581,86.28232151040368
362,ground_ball,92.11645706375936,89.79290435802582
362,line_drive,94.85085787443622,95.04507163563585
362,popup,71.1830417044309,72.10817621049455
363,fly_ball,85.80307630889286,86.23898010139361
363,ground_ball,91.7822603634448,89.09416169001545
363,line_drive,93.9619797646765,94.47275701075925
363,popup,79.71589968792175,78.3736017806839
364,fly_ball,89.19671510836784,88.86381134064123
364,ground_ball,90.1880429823268,90.14084892570817
364,line_drive,93.23050276170295,93.72640499464507
364,popup,69.60097204863101,71.25180544058829
365,fly_ball,85.17977388921494,86.26264658591846
365,ground_ball,83.6318299322152,87.59882984129223
365,line_drive,91.51861434979756,91.32122936770499
365,popup,61.9473444095813,64.78169395603044
366,fly_ball,89.9715396849604,89.1611765108666
366,ground_ball,88.7723558871301,88.55337207102372
366,line_drive,97.06825573533871,97.95745600699823
366,popup,80.2337839608363,77.57189845079186
367,ground_ball,89.86799976053291,82.09501911580273
368,fly_ball,93.749389603183,94.77498642391403
368,ground_ball,97.231007959353,96.65455547867685
368,line_drive,85.10736010130626,85.19711985826257
368,popup,61.613966533343,64.44456007607005
369,fly_ball,96.55560334186059,95.85100757481857
